Id,ClusterId,Description,Type,Language,LastUpdated,PublicationDate,CreatedDate,FirstReported,Publisher,NoDocuments,SourceUrl,SilobreakerUrl
5_2275631965983997954,16_2275631817337864234,"Florida COVID update Sunday: 5,065 new cases, the second day under 100 deaths in 2021",Blog,en,2021-02-21T19:29:28Z,2021-02-21T19:29:28Z,2021-02-21T21:11:10Z,2021-02-21T19:29:28Z,Linux/Open Source News Headlines - Yahoo! News,2,https://news.yahoo.com/florida-covid-sunday-4-965-192928273.html,https://my.silobreaker.com/5_2275631965983997954
5_2275818539967315976,16_2275818539967315973,11 new cases of COVID-19 U.K. Variant found in McDowell County,News,en,2021-05-10T14:30:00Z,2021-05-10T14:30:00Z,2021-05-10T15:23:53Z,2021-05-10T14:30:00Z,WVVA,1,https://wvva.com/2021/05/10/11-new-cases-of-covid-19-u-k-variant-found-in-mcdowell-county/,https://my.silobreaker.com/5_2275818539967315976
5_2275612168651014150,16_2275609970986713163,"Florida COVID update for Friday: 7,617 new cases and 183 deaths",News,en,2021-02-12T19:23:47Z,2021-02-12T19:23:47Z,2021-02-13T09:40:46Z,2021-02-12T19:23:47Z,Security News Headlines - Yahoo! News,2,https://news.yahoo.com/florida-covid-friday-7-617-192347583.html,https://my.silobreaker.com/5_2275612168651014150
5_2275771366194032442,16_2275769884430303410,Twenty-nine new confirmed COVID-19 cases reported for Taylor County Wednesday,News,en,2021-04-21T00:00:00Z,2021-04-21T00:00:00Z,2021-04-21T20:20:54Z,2021-04-21T00:00:00Z,MyFoxZone.com,1,https://www.myfoxzone.com/article/news/health/coronavirus/coronavirus-numbers/twenty-nine-new-confirmed-covid-19-cases-reported-for-taylor-county-wednesday/504-4ce0154c-cac3-44ef-9f09-120a9197eecb,https://my.silobreaker.com/5_2275771366194032442
5_2275755130143899887,16_2275755130143899738,Good News: Florida Reports COVID Deaths in Single Digits for First Time In Seven Months,News,en,2021-04-13T19:47:00Z,2021-04-13T19:47:00Z,2021-04-13T19:54:59Z,2021-04-13T19:47:00Z,Faithwire,1,https://www.faithwire.com/2021/04/13/there-is-good-news-florida-reports-covid-deaths-in-single-digits-for-first-time-in-seven-months/,https://my.silobreaker.com/5_2275755130143899887
5_2275614436175642626,16_2275612246245638165,"Florida health officials report 7,000 new cases of COVID-19",News,en,2021-02-13T20:23:34Z,2021-02-13T20:23:34Z,2021-02-13T20:47:57Z,2021-02-13T20:23:34Z,Click Orlando - News Headlines - RSS,1,https://www.clickorlando.com/news/local/2021/02/13/florida-health-officials-report-7000-new-cases-of-covid-19/,https://my.silobreaker.com/5_2275614436175642626
5_2275882005625307628,16_2275882005625307377,"Weekly Update: Florida Coronavirus Cases, Positivity Rate And More For June 3",News,en,2021-06-07T10:01:00Z,2021-06-07T10:01:00Z,2021-06-07T10:11:03Z,2021-06-07T10:01:00Z,WUSF Public Media,1,https://wusfnews.wusf.usf.edu/health-news-florida/2021-06-07/weekly-update-florida-coronavirus-cases-positivity-rate-and-more-for-june-3,https://my.silobreaker.com/5_2275882005625307628
5_2275788207834529979,16_2275788207834529850,"Monroe County COVID-19 data: 206 new cases, no new deaths",News,en,2021-04-28T21:05:00Z,2021-04-28T21:05:00Z,2021-04-28T21:12:18Z,2021-04-28T21:05:00Z,WXXI AM,2,https://www.wxxinews.org/post/monroe-county-covid-19-data-206-new-cases-no-new-deaths,https://my.silobreaker.com/5_2275788207834529979
5_2275814205422567425,16_2275814205422567424,"Florida Adds Over 3,900 New Covid Cases, Reports 65 More Resident Deaths Saturday",News,en,2021-05-08T15:25:09Z,2021-05-08T15:25:09Z,2021-05-08T19:40:50Z,2021-05-08T15:25:09Z,NBC Miami,1,https://www.nbcmiami.com/news/local/florida-adds-over-3900-new-covid-cases-reports-65-more-resident-deaths-saturday/2446702/,https://my.silobreaker.com/5_2275814205422567425
5_2275752753953243236,16_2275751684154064896,"Monday's COVID-19 update: 456 new cases and 3 deaths documented in Guilford County over the weekend, according to state data",News,en,2021-04-12T17:10:00Z,2021-04-12T17:10:00Z,2021-04-12T17:46:27Z,2021-04-12T17:10:00Z,Greensboro.com,1,https://greensboro.com/news/local/mondays-covid-19-update-456-new-cases-and-3-deaths-documented-in-guilford-county-over/article_80eabfa4-9bac-11eb-809d-677094119327.html,https://my.silobreaker.com/5_2275752753953243236
